RWCID;CollID;PieceNo;CDNo;TrackNo;Title;Artist;SingerInformation;SingingLanguage;Tempo;Variation;LiveInstruments;DrumInformation;Composer;CompositionType;GenreMain;GenreSub;audio_start;audio_end;duration
RWC_C025B;C;25B;4;14;The Well-Tempered Clavier, Book 1, No.1 in C major, BWV 846, Fugue;Atsuko Watanabe;;;;;Hp;;Bach, Johann Sebastian;Fugue for Keyboard;Classical;Baroque;0.0059;124.1165;129.7624036281179
RWC_C025C;C;25C;4;15;The Well-Tempered Clavier, Book 1, No.2 in C minor, BWV 847, Prelude;Atsuko Watanabe;;;;;Hp;;Bach, Johann Sebastian;Prelude for Keyboard;Classical;Baroque;0.0065;86.4871;89.91061224489796
RWC_C025D;C;25D;4;16;The Well-Tempered Clavier, Book 1, No.2 in C minor, BWV 847, Fugue;Atsuko Watanabe;;;;;Hp;;Bach, Johann Sebastian;Fugue for Keyboard;Classical;Baroque;0.0053;109.2876;114.56687074829932
RWC_C026;C;26;5;1;Piano Sonata in A major, KV 331/300i, 1st mvmt.;Norio Shimizu;;;;;Pf;;Mozart, Wolfgang Amadeus;Piano Sonata;Classical;Classical;0.0083;594.5324;598.4436734693877
RWC_C027;C;27;5;2;"Variations on ""Ah Vous Dirai-je Maman"", KV 265/300e";Yuriko Furuichi;;;;;Pf;;Mozart, Wolfgang Amadeus;Variations for Piano;Classical;Classical;0.0093;441.2256;445.93097505668936
RWC_C028;C;28;5;3;"Piano Sonata No.23 in F minor, Op.57, ""Appasionata"", 1st mvmt.";Sarasa Watanabe;;;;;Pf;;Beethoven, Ludwig van;Piano Sonata;Classical;Classical;0.0049;581.0503;588.2029931972789
RWC_C029;C;29;5;4;"""Träumerei"" from Suite ""Kinderszenen"", Op.15";Norio Shimizu;;;;;Pf;;Schumann, Robert Alexander;Pieces for Piano;Classical;Romantic;0.0063;139.089;143.0908843537415
RWC_C030;C;30;5;5;Nocturne No.2 in Eb major, Op.9 No.2;Yuriko Furuichi;;;;;Pf;;Chopin, Frédéric François;Nocturne for Piano;Classical;Romantic;0.0104;237.099;240.87591836734697
RWC_C031;C;31;5;6;Etude in E major, Op.10 No.3;Miki Narai;;;;;Pf;;Chopin, Frédéric François;Studies (Etuede) for Piano;Classical;Romantic;0.08;250.3227;254.32192743764173
RWC_C032;C;32;5;7;Etude in F minor, Op.25 No.2;Yuriko Furuichi;;;;;Pf;;Chopin, Frédéric François;Studies (Etuede) for Piano;Classical;Romantic;0.0114;103.2417;107.66485260770976
RWC_C033;C;33;5;8;"Polonaise No.6 in Ab major, Op.53, ""Héroïque""";Mutsuko Tajima;;;;;Pf;;Chopin, Frédéric François;Polonaise for Piano;Classical;Romantic;0.0098;399.3992;403.35879818594105
RWC_C034;C;34;5;9;"""La Campanella"" from ""Grandes Études de Paganini""";Naoko Matsuoka;;;;;Pf;;Liszt, Franz;Pieces for Piano;Classical;Romantic;0.0076;302.6242;307.10054421768706
RWC_C035A;C;35A;5;10;Three Gymnopédies, No.1;Norio Shimizu;;;;;Pf;;Satie, Erik;Pieces for Piano;Classical;Romantic;0.0122;221.9828;227.2148752834467
RWC_C035B;C;35B;5;11;Three Gymnopédies, No.2;Norio Shimizu;;;;;Pf;;Satie, Erik;Pieces for Piano;Classical;Romantic;0.009;177.3308;179.3965986394558
RWC_C035C;C;35C;5;12;Three Gymnopédies, No.3;Norio Shimizu;;;;;Pf;;Satie, Erik;Pieces for Piano;Classical;Romantic;0.0054;161.0362;166.28399092970523
RWC_C036;C;36;6;1;6 Sonatas and Partitas for Unaccompanied Violin No.6, Partita No.3 in E major, BWV 1006, 3. Gavotte en Rondeau;Michi Mizutori;;;;;Vn;;Bach, Johann Sebastian;Violin Partita;Classical;Baroque;0.0521;205.6432;210.0319954648526
RWC_C037;C;37;6;2;"Violin Sonata No.5 in F major, Op.24, ""Spring"", 3rd mvmt.";Michi Mizutori;;;;;Vn, Pf;;Beethoven, Ludwig van;Violin Sonata;Classical;Classical;0.0091;69.895;75.55947845804988
RWC_C038;C;38;6;3;24 Caprices, Op.1 No.24 in A minor;Michi Mizutori;;;;;Vn;;Paganini, Niccolò;Caprices for Violin;Classical;Romantic;0.0185;315.5004;319.1370068027211
RWC_C039;C;39;6;4;Violin Sonata in A major, 4th mvmt.;Michi Mizutori;;;;;Vn, Pf;;Franck, César;Violin Sonata;Classical;Romantic;0.019;398.019;401.96299319727893
RWC_C040;C;40;6;5;"Meditation from ""Thaïs""";Michi Mizutori;;;;;Vn, Pf;;Massenet, Jules;Meditation for Violin and Piano;Classical;Romantic;0.0;298.9105;304.35
RWC_C041;C;41;6;6;Cello Suite No.1 in G major, BWV 1007, 1. Prelude;Hitoshi Miyazawa;;;;;Vc;;Bach, Johann Sebastian;Cello Suite;Classical;Baroque;0.0;151.3535;157.43
RWC_C042;C;42;6;7;"""Le Cygne"" from Suite ""Le Carnaval des Animaux""";Hitoshi Miyazawa;;;;;Vc, Pf;;Saint-Saëns, Camille;Fantasia for Cello and Piano;Classical;Romantic;0.0114;145.8794;149.77598639455783
RWC_C043;C;43;6;8;Sicilienne, Op.78;Hidehiko Watase;;;;;Fl, Pf;;Fauré, Gabriel;Siciliana for Flute and Piano;Classical;Romantic;0.0095;244.5061;247.6439909297052
RWC_C044;C;44;6;9;"""The Flight of the Bumble Bee""";Hidehiko Watase;;;;;Fl, Pf;;Rimski-Korsakov, Nikolay;Theatre Music Arrangement;Classical;Romantic;0.025;58.2705;61.84
RWC_C045;C;45;6;10;"Air ""Ombra mai fu"" (Largo) from ""Serse"" (Xerxes)";Rihoko Yanagisawa;Female;Italian;;;Orch;;Handel, George Frideric;Theatre Music Arrangement;Classical;Baroque;0.0082;164.9067;167.6070068027211
RWC_C046;C;46;6;11;"Air 14 (Queen of the Night's Air) ""Der Hölle Rache kocht in meinem Herzen"" from ""Die Zauberflöte"" (The Magic Flute), KV 620";Makiko Saito;Female;German;;;Orch;;Mozart, Wolfgang Amadeus;Theatre Music;Classical;Classical;0.0675;182.1431;186.66698412698412
RWC_C047;C;47;6;12;"""Ständchen"" (Serenade) from ""Schwanengesang"", D.957";Asuka Ueda;Male;German;;;Pf;;Schubert, Franz Peter;Lieder;Classical;Romantic;0.0073;220.6476;224.29891156462585
RWC_C048;C;48;6;13;"""Der Lindenbaum"" from ""Winterreise"", Op.89/D.911";Tomihiko Kotaka;Male;German;;;Pf;;Schubert, Franz Peter;Lieder;Classical;Romantic;0.029;260.0171;264.4381179138322
RWC_C049;C;49;6;14;"Air ""La donna è mobile qual piuma al vento"" from ""Rigoletto""";Ryosuke Hagino;Male;Italian;;;Orch;;Verdi, Giuseppe;Thatre Music Arrangment;Classical;Romantic;0.0506;126.6184;129.54700680272109
RWC_C050;C;50;6;15;"Micaela's Air ""Je dis que rien ne m'épouvante"" from ""Carmen""";Hiromi Tohyama;Female;French;;;Orch;;Bizet, Georges;Thatre Music Arrangment;Classical;Romantic;0.102;300.176;305.73292517006803
RWC_J001;J;1;1;1;Jive (Piano Solo);Makoto Nakamura;;;;Instrumentation 1;Pf;;;;Jazz;;0.02;198.6177;200.54199546485265
RWC_J002;J;2;1;2;For Two (Piano Solo);Makoto Nakamura;;;;Instrumentation 1;Pf;;;;Jazz;;0.0201;367.8476;373.6270068027211
RWC_J003;J;3;1;3;Lounge Away (Piano Solo);Takao Nagai;;;;Instrumentation 1;Pf;;;;Jazz;;0.0195;153.4563;156.94401360544217
RWC_J004;J;4;1;4;Crescent Serenade (Piano Solo);Makoto Nakamura;;;;Instrumentation 1;Pf;;;;Jazz;;0.0241;162.2121;165.38698412698412
RWC_J005;J;5;1;5;Abyss (Piano Solo);Takao Nagai;;;;Instrumentation 1;Pf;;;;Jazz;;0.0597;178.1841;186.4609977324263
RWC_J006;J;6;1;6;Jive (Guitar Solo);Hiroo Chubachi;;;;Instrumentation 2;Gt;;;;Jazz;;0.02;160.7474;165.9190022675737
RWC_J007;J;7;1;7;For Two (Guitar Solo);Hiroo Chubachi;;;;Instrumentation 2;Gt;;;;Jazz;;0.0612;208.4978;214.30698412698413
RWC_J008;J;8;1;8;Lounge Away (Guitar Solo);Satoshi Yamamoto;;;;Instrumentation 2;Gt;;;;Jazz;;0.0354;216.9615;219.6409977324263
RWC_J009;J;9;1;9;Crescent Serenade (Guitar Solo);Satoshi Yamamoto;;;;Instrumentation 2;Gt;;;;Jazz;;0.037;213.8558;216.29900226757368
RWC_J010;J;10;1;10;Abyss (Guitar Solo);Hiroo Chubachi;;;;Instrumentation 2;Gt;;;;Jazz;;0.0404;197.0482;198.74700680272107
RWC_J011;J;11;1;11;Jive (Vib & Piano Duo);Masahiro Kanno & Takao Nagai;;;;Instrumentation 3;Vib, Pf;;;;Jazz;;0.0805;239.376;243.66056689342403
RWC_J012;J;12;1;12;For Two (Flute & Piano Duo);Kazuma Ito & Hiroshi Haji;;;;Instrumentation 3;Fl, Pf;;;;Jazz;;0.0098;328.4811;332.6291609977324
RWC_J013;J;13;1;13;Lounge Away (Vib & Piano Duo);Masahiro Kanno & Takao Nagai;;;;Instrumentation 3;Vib, Pf;;;;Jazz;;0.0071;221.3061;225.3550113378685
RWC_J014;J;14;1;14;Crescent Serenade (Piano & Bass Duo);MN & NK;;;;Instrumentation 3;Pf, Bs;;;;Jazz;;0.3294;278.3216;280.41038548752834
RWC_J015;J;15;1;15;Abyss (Piano & Bass Duo);MN & NK;;;;Instrumentation 3;Pf, Bs;;;;Jazz;;0.045;271.6502;272.89916099773245
RWC_J016;J;16;2;1;Jive (Piano Trio);Makoto Nakamura Trio;;;;Instrumentation 4;Pf, Bs, Dr;;;;Jazz;;0.037;278.6997;281.9436507936508
RWC_J017;J;17;2;2;For Two (Piano Trio);Makoto Nakamura Trio;;;;Instrumentation 4;Pf, Bs, Dr;;;;Jazz;;0.0066;407.5683;409.92124716553286
RWC_J018;J;18;2;3;Lounge Away (Piano Trio);HIS Trio;;;;Instrumentation 4;Pf, Bs, Dr;;;;Jazz;;0.0555;315.0679;320.4768934240363
RWC_J019;J;19;2;4;Crescent Serenade (Piano Trio);HIS Trio;;;;Instrumentation 4;Pf, Bs, Dr;;;;Jazz;;0.0232;310.7302;313.325873015873
RWC_J020;J;20;2;5;Abyss (Piano Trio);Takao Nagai Trio;;;;Instrumentation 4;Pf, Bs, Dr;;;;Jazz;;0.0222;336.254;339.2690022675737
RWC_J021;J;21;2;6;Jive (Piano Trio & Tp);Rick's;;;;Instrumentation 5;Pf, Bs, Dr, Tp;;;;Jazz;;0.0196;272.9854;276.3509977324263
RWC_J022;J;22;2;7;For Two (Piano Trio & Tp);Rick's;;;;Instrumentation 5;Pf, Bs, Dr, Tp;;;;Jazz;;0.0209;433.0768;434.24648526077095
RWC_J023;J;23;2;8;Lounge Away (Piano Trio & Ts);Tetsuya Ozawa Quartet;;;;Instrumentation 5;Pf, Bs, Dr, Ts;;;;Jazz;;0.0653;275.4902;281.2928798185941
RWC_J024;J;24;2;9;Crescent Serenade (Piano Trio & Ts);Tetsuya Ozawa Quartet;;;;Instrumentation 5;Pf, Bs, Dr, Ts;;;;Jazz;;0.0281;290.0985;293.21
RWC_J025;J;25;2;10;Abyss (Piano Trio & Ts);Tetsuya Ozawa Quartet;;;;Instrumentation 5;Pf, Bs, Dr, Ts;;;;Jazz;;0.0163;378.5491;380.59401360544217
RWC_J026;J;26;3;1;Jive (Octet);YOU Band;;;;Instrumentation 6;Pf, Bs, Dr, Gt, As, Bar, Ts, Ts;;;;Jazz;;0.0189;206.2977;209.1129931972789
RWC_J027;J;27;3;2;For Two (Octet);YOU Band;;;;Instrumentation 6;Pf, Bs, Dr, Gt, As, Bar, Ts, Ts;;;;Jazz;;0.02;223.4921;225.4830158730159
RWC_J028;J;28;3;3;Lounge Away (Octet);YOU Band;;;;Instrumentation 6;Pf, Bs, Dr, Gt, As, Bar, Ts, Ts;;;;Jazz;;0.0996;212.4394;214.9860090702948
RWC_J029;J;29;3;4;Crescent Serenade (Octet);YOU Band;;;;Instrumentation 6;Pf, Bs, Dr, Gt, As, Bar, Ts, Ts;;;;Jazz;;0.0648;244.049;245.72968253968253
RWC_J030;J;30;3;5;Abyss (Octet);YOU Band;;;;Instrumentation 6;Pf, Bs, Dr, Gt, As, Bar, Ts, Ts;;;;Jazz;;0.0204;233.1574;237.54655328798185
RWC_J031;J;31;3;6;Jive (Piano Trio & Vib);Masahiro Kanno Quartet;;;;Instrumentation 7;Pf, Bs, Dr, Vib;;;;Jazz;;0.0204;303.8756;307.1639909297052
RWC_J032;J;32;3;7;For Two (Piano Trio & Vib);Masahiro Kanno Quartet;;;;Instrumentation 7;Pf, Bs, Dr, Vib;;;;Jazz;;0.0327;335.8766;338.21299319727893
RWC_J033;J;33;3;8;Lounge Away (Piano Trio & Flute);Kazuma Ito Quartet;;;;Instrumentation 7;Pf, Bs, Dr, Fl;;;;Jazz;;0.018;249.661;251.6309977324263
RWC_J034;J;34;3;9;Crescent Serenade (Piano Trio & Flute);Kazuma Ito Quartet;;;;Instrumentation 7;Pf, Bs, Dr, Fl;;;;Jazz;;0.0336;348.7202;350.8990022675737
RWC_J035;J;35;3;10;Abyss (Piano Trio & Vib);Masahiro Kanno Quartet;;;;Instrumentation 7;Pf, Bs, Dr, Vib;;;;Jazz;;0.0522;313.8286;314.8059863945578
RWC_J036;J;36;4;1;Dance Together;Nathan Ingram III;Male;English;;Style (Vocal jazz);Pf, Bs, Dr, Tp, Vo;;;;Jazz;;0.1295;217.7393;220.5239909297052
RWC_J037;J;37;4;2;Aura Lee;Aoi Kato;Female;English;;Style (Vocal jazz);Pf, Bs, Dr, Vo;;;;Jazz;;0.0163;139.7624;143.1129931972789
RWC_J038;J;38;4;3;The Entertainer;HH Band;;;;Style (Big band jazz);Pf, Bs, Dr, Gt, Tp, Tb, Ts, As, Bar, Fl;;;;Jazz;Swing;0.0472;183.3092;186.04199546485265
RWC_J039;J;39;4;4;Mo' Trippin';HH Band;;;;Style (Big band jazz);Pf, Bs, Dr, Gt, Tp, Tb, Ts, As, Bar, Fl;;;;Jazz;Fusion;0.0128;228.6585;231.9840136054422
RWC_J040;J;40;4;5;Image;Tetsuya Ozawa Quartet;;;;Style (Modal jazz);Pf, Bs, Dr, Ts;;;;Jazz;Modal jazz;0.5067;458.0136;459.1760090702948
RWC_J041;J;41;4;6;Friction;Yutaka Umitsuki Quartet;;;;Style (Modal jazz);Pf, Bs, Dr, Ts;;;;Jazz;Modal jazz;0.0163;360.9143;363.8829931972789
RWC_J042;J;42;4;7;Silent Night;U's Band;;;;Style (Funky jazz);Pf, Bs, Dr, Gt, Ts, As, Bar;;;;Jazz;Funky jazz;0.0299;339.4759;341.6059863945578
RWC_J043;J;43;4;8;Down To The Earth;Yutaka Umitsuki Quartet;;;;Style (Funky jazz);Pf, Bs, Dr, Ts;;;;Jazz;Funky jazz;0.0356;292.6759;293.89399092970524
RWC_J044;J;44;4;9;Joyful, Joyful, We Adore Thee;K's Band;;;;Style (Free jazz);Pf, Bs, Dr, Gt, Ts, Fl, Bar;;;;Jazz;Free jazz;0.0689;256.3918;268.8580045351474
RWC_J045;J;45;4;10;Morning View;22 Project Band;;;;Fusion;Pf, Kb, Bs, Dr, Gt, Perc;;;;Jazz;Fusion;0.0494;259.3205;263.5907029478458
RWC_J046;J;46;4;11;Formula;22 Project Band;;;;Fusion;Pf, Kb, Bs, Dr, Gt, EWI;;;;Jazz;Fusion;0.0158;198.9994;202.7140589569161
RWC_J047;J;47;4;12;Morning Star;22 Project Band;;;;Fusion;Kb, Bs, Dr, Gt;;;;Jazz;Fusion;0.0244;219.52;223.5524716553288
RWC_J048;J;48;4;13;Latin Sacrifice;22 Project Band;;;;Fusion;Pf, Kb, Bs, Dr, Gt, Perc;;;;Jazz;Fusion;0.0348;237.5721;240.6016553287982
RWC_J049;J;49;4;14;Wolf;22 Project Band;;;;Fusion;Kb, Kb, Bs, Dr, Gt;;;;Jazz;Fusion;0.0305;177.4701;180.6136507936508
RWC_J050;J;50;4;15;Bird Of Paradise;22 Project Band;;;;Fusion;Kb, Bs, Dr, Ss, Ts, Perc;;;;Jazz;Fusion;0.019;238.7331;241.54530612244895
RWC_G001;G;1;1;1;Wasting Time;Shinya Iguchi;Male;English;;;;;Shinya Iguchi;;Popular;Popular;0.0211;346.5224;348.61278911564625
RWC_G002;G;2;1;2;Forget about It;Shinya Iguchi;Male;English;;;;;Shinya Iguchi;;Popular;Popular;0.1327;256.6449;260.63580498866213
RWC_G003;G;3;1;3;In Your Arms;Donna Burke;Female;English;;;;;Suguru Kawagoshi;;Popular;Popular;0.0102;223.1496;227.28675736961452
RWC_G004;G;4;1;4;Hold On;Shinya Iguchi;Male;English;;;;;Shinya Iguchi;;Popular;Ballade;0.0183;307.3306;313.3610657596372
RWC_G005;G;5;1;5;Taking Your Heart;Shinya Iguchi;Male;English;;;;;Shinya Iguchi;;Popular;Ballade;0.0218;361.8133;367.5926984126984
RWC_G006;G;6;1;6;Let's Take Some Time ... To Think It Over;Betty;Female;English;;;;;Suguru Kawagoshi;;Popular;Ballade;0.1814;238.4327;241.8472335600907
RWC_G007;G;7;1;7;Everyday Lovin';Donna Burke;Female;English;;;;;Takeshi Wada;;Rock;Rock;0.02;252.6099;256.5539229024943
RWC_G008;G;8;1;8;Living in a World of Destruction;Jeff Manning;Male;English;;;;;Shigekazu Kamaki;;Rock;Rock;0.0493;201.0612;204.25480725623584
RWC_G009;G;9;1;9;Waiting for Your Love;Donna Burke;Female;English;;;;;Suguru Kawagoshi;;Rock;Rock;0.0907;205.5953;208.14111111111112
RWC_G010;G;10;1;10;Lost in My Dreams;Jeff Manning;Male;English;;;;;Shigekazu Kamaki;;Rock;Heavy Metal;0.0156;226.5368;230.405306122449
RWC_G011;G;11;1;11;21st Century;Donna Burke;Female;English;;;;;Masuhiro Goto;;Rock;Heavy Metal;0.0396;298.5157;302.3052154195011
RWC_G012;G;12;1;12;Woman;Betty;Female;English;;;;;Suguru Kawagoshi;;Rock;Heavy Metal;0.1771;197.3159;201.154693877551
RWC_G013;G;13;2;1;Guess Again;Donna Burke;Female;English;;;;;Shigekazu Kamaki;;Dance;Rap / Hip-Hop;0.0186;218.2211;220.6883219954649
RWC_G014;G;14;2;2;Tuesday Morning;Jeff Manning;Male;English;;;;;Ichio Yamamoto;;Dance;Rap / Hip-Hop;0.0205;182.4217;185.46691609977324
RWC_G015;G;15;2;3;Rocket in My Pocket;Greg Irwin;Male;English;;;;;Shingo Katsuta;;Dance;Rap / Hip-Hop;0.0118;307.4786;309.9533560090703
RWC_G016;G;16;2;4;Life Gage;Nishi feat.T;Female;;;;;;Kazuo Nishi;;Dance;House;0.016;186.5878;189.86804988662132
RWC_G017;G;17;2;5;Tonight's the Night for Love;Donna Burke;Female;English;;;;;Ichio Yamamoto;;Dance;House;0.0162;180.9705;184.5314058956916
RWC_G018;G;18;2;6;Anything for Your Love;Jeff Manning;Male;English;;;;;Ichio Yamamoto;;Dance;House;0.0694;179.0204;184.96290249433108
RWC_G019;G;19;2;7;Asia 2;Kazuo Nishi;Male;;;;;;Kazuo Nishi;;Dance;Techno;0.0156;217.4122;220.0646031746032
RWC_G020;G;20;2;8;Keep Running;Donna Burke;Female;English;;;;;Ichio Yamamoto;;Dance;Techno;0.0178;158.1959;160.65938775510205
RWC_G021;G;21;2;9;Stf;Ichio;;;;;;;Ichio Yamamoto;;Dance;Techno;0.0175;201.4795;204.2320634920635
RWC_G022;G;22;2;10;Get on up and Dance;Donna Burke;Female;English;;;;;Emiko Yamanaka;;Dance;Funk;0.0224;272.098;274.89072562358274
RWC_G023;G;23;2;11;Feeling the Hate;Greg Irwin;Male;English;;;;;Junji Miyazaki;;Dance;Funk;0.0304;272.849;277.2712698412698
RWC_G024;G;24;2;12;Trustin' in Your Groove;Greg Irwin;Male;English;;;;;Takeshi Wada;;Dance;Funk;0.0225;236.5633;242.09913832199547
RWC_G025;G;25;2;13;It's Time to Fly;Donna Burke;Female;English;;;;;Suguru Kawagoshi;;Dance;Soul / R&B;0.022;238.1903;241.79526077097503
RWC_G026;G;26;2;14;Secret Dreams;Donna Burke;Female;English;;;;;Suguru Kawagoshi;;Dance;Soul / R&B;0.0261;225.3874;228.16204081632657
RWC_G027;G;27;2;15;Suddenly;Greg Irwin;Male;English;;;;;Shigenobu Okawa;;Dance;Soul / R&B;0.1117;211.5048;214.88367346938776
RWC_G028;G;28;3;1;Wind Up;HH Band;;;;;;;Hiroshi Haji;;Jazz;Big Band;0.0051;199.3491;202.59204081632652
RWC_G029;G;29;3;2;Bubble;HH Band;;;;;;;Hiroshi Haji;;Jazz;Big Band;0.0095;159.649;164.23904761904762
RWC_G030;G;30;3;3;Kitchen;HH Band;;;;;;;Hiroshi Haji;;Jazz;Big Band;0.0087;191.6111;194.72333333333333
RWC_G031;G;31;3;4;Azure;Makoto Nakamura Trio;;;;;;;Hiroshi Haji;;Jazz;Modern Jazz;0.0062;255.5755;258.8358276643991
RWC_G032;G;32;3;5;Chuggin';Takao Nagai Trio;;;;;;;Hiroshi Haji;;Jazz;Modern Jazz;0.0134;268.4245;273.3272335600907
RWC_G033;G;33;3;6;The Ramp;H's Band;;;;;;;Hiroshi Haji;;Jazz;Modern Jazz;0.1207;194.249;196.82630385487528
RWC_G034;G;34;3;7;Tea Break;22 Project Band;;;;;;;Bunmei Ogawa;;Jazz;Fusion;0.015;287.7939;291.2151247165533
RWC_G035;G;35;3;8;Gypsy Eyes;22 Project Band;;;;;;;Kenji Nakamura;;Jazz;Fusion;0.0589;188.3755;192.1939909297052
RWC_G036;G;36;3;9;Wind Flower;22 Project Band;;;;;;;Bunmei Ogawa;;Jazz;Fusion;0.0247;266.1551;270.0586848072562
RWC_G037;G;37;4;1;Musica Nova;Bossa Novas;;;;;;;Hiroshi Haji;;Latin;Bossa Nova;0.0076;250.462;251.93424036281175
RWC_G038;G;38;4;2;Misty Rouge;Bossa Novas;;;;;;;Hiroshi Haji;;Latin;Bossa Nova;0.0421;192.0058;196.3657823129252
RWC_G039;G;39;4;3;Jullia;S Project Band;Female;English;;;;;Bunmei Ogawa;;Latin;Bossa Nova;0.8998;205.298;209.40643990929703
RWC_G040;G;40;4;4;Lovely Women;Sambars;;;;;;;Kenji Nakamura;;Latin;Samba;0.1306;212.0163;215.65952380952385
RWC_G041;G;41;4;5;Dance to the Samba;Sambars;Female, Vocal group (mixed);English;;;;;Bunmei Ogawa;;Latin;Samba;0.0196;247.4551;249.19938775510204
RWC_G042;G;42;4;6;Sway So Gentle;Sambars;;;;;;;Kenji Nakamura;;Latin;Samba;0.0175;177.3076;181.4134693877551
RWC_G043;G;43;4;7;Moon Struck;On Band;;;;;;;Bunmei Ogawa;;Latin;Reggae;0.0234;181.9592;184.88609977324265
RWC_G044;G;44;4;8;Eric's Reggae;On Band;;;;;;;Kenji Nakamura;;Latin;Reggae;0.1611;192.7837;195.8211337868481
RWC_G045;G;45;4;9;Where Are You?;On Band;Male;English;;;;;Bunmei Ogawa;;Latin;Reggae;0.1132;226.1714;229.6067573696145
RWC_G046;G;46;4;10;Tango Noir;Tango House;;;;;;;Hiroshi Haji;;Latin;Tango;0.1176;149.9661;153.5369387755102
RWC_G047;G;47;4;11;Kittenish Tango;Tango House;;;;;;;Hiroshi Haji;;Latin;Tango;0.1531;184.9143;188.7636507936508
RWC_G048;G;48;4;12;Tango in Twilight;Tango House;;;;;;;Hiroshi Haji;;Latin;Tango;0.007;175.4939;178.44739229024944
RWC_G049;G;49;5;1;"""Water Music"" Suite No.2 in D major, HWV 349, 2. Alla Hornpipe";Tokyo City Philharmonic Orchestra;;;;;Orch;;Handel, George Frideric;Suite;Classical;Baroque;0.0559;195.0708;200.21891156462584
RWC_G050;G;50;5;2;"""Egmont"" Overture, Op.84";Tokyo City Philharmonic Orchestra;;;;;Orch;;Beethoven, Ludwig van;Theatre Music;Classical;Classical;0.0531;508.7918;513.5192743764172
RWC_G051;G;51;5;3;"""Die Meistersinger von Nürnberg"", Prelude to Act 1";Tokyo City Philharmonic Orchestra;;;;;Orch;;Wagner, Richard;Theatre Music;Classical;Romantic;0.0222;602.4134;608.0680045351473
RWC_G052;G;52;5;4;"""Alborada del Gracioso""";Tokyo City Philharmonic Orchestra;;;;;Orch;;Ravel, Maurice;Piano Suite Arrangement;Classical;Modern;0.0361;450.9489;456.8193197278912
RWC_G053;G;53;5;5;"""Jupiter"" from Suite ""The Planets"", Op.32";Tokyo City Philharmonic Orchestra;;;;;Orch;;Holst, Gustav;Suite;Classical;Modern;0.3224;472.0007;475.56333333333333
RWC_G054;G;54;5;6;"""The Stars and Stripes Forever""";Tokyo Kosei Wind Orchestra;;;;;WindEns;;Sousa, John Philip;March;March;Brass Band;0.0174;215.6524;222.4187074829932
RWC_G055;G;55;5;7;"""Radetzky March"", Op.228";Tokyo Kosei Wind Orchestra;;;;;WindEns;;Strauss I, Johann;March;March;Brass Band;0.0069;147.4888;154.68609977324263
RWC_G056;G;56;5;8;"""Pomp and Circumstance Marches"", Op.39, March No.1";Tokyo Kosei Wind Orchestra;;;;;WindEns;;Elgar, Edward;March;March;Brass Band;0.021;394.498;401.3119954648526
RWC_G057;G;57;6;1;Toccata and Fugue in D minor, BWV 565;Tetsuya Kan;;;;;Org;;Bach, Johann Sebastian;Toccata e Fugue for Organ;Classical;Baroque;0.009;499.4612;506.6190022675737
RWC_G058A;G;58A;6;2;Two-Part Inventions, No.1 in C major, BWV 772;Atsuko Watanabe;;;;;Pf;;Bach, Johann Sebastian;Invention for Keyboard;Classical;Baroque;0.0166;83.351;88.67897959183674
RWC_G058B;G;58B;6;3;Two-Part Inventions, No.4 in D minor, BWV 775;Atsuko Watanabe;;;;;Pf;;Bach, Johann Sebastian;Invention for Keyboard;Classical;Baroque;0.0161;48.4078;52.78387755102041
RWC_G058C;G;58C;6;4;Two-Part Inventions, No.14 in Bb major, BWV 785;Atsuko Watanabe;;;;;Pf;;Bach, Johann Sebastian;Invention for Keyboard;Classical;Baroque;0.0225;78.743;83.18875283446712
RWC_G059;G;59;6;5;Rondo in D major, KV 485;Yuriko Furuichi;;;;;Pf;;Mozart, Wolfgang Amadeus;Rondo for Piano;Classical;Classical;0.0205;291.7061;293.9329931972789
RWC_G060;G;60;6;6;"String Quartet No.77 in C major, Op.76 No.3, Hob.III:77, ""Kaiser"", 2nd mvmt.";Wood Land Notes;;;;;;;Haydn, Franz Joseph;String Quartet;Classical;Classical;0.0776;424.3918;426.8621315192744
RWC_G061;G;61;6;7;String Quartet No.1 in D major, Op.11, 2nd mvmt. (Andante Cantabile);Wood Land Notes;;;;;;;Tchaikovsky, Pyotr Ilich;String Quartet;Classical;Romantic;0.0624;367.2408;369.83138321995466
RWC_G062;G;62;6;8;Etude in Gb major, Op.10/5;Yuri Mineo;;;;;Pf;;Chopin, Frédéric François;Studies (Etuede) for Piano;Classical;Romantic;0.0196;111.897;114.2190022675737
RWC_G063;G;63;6;9;"""Clair de Lune"" from ""Suite Bergamasque""";Yuriko Furuichi;;;;;Pf;;Debussy, Achille-Claude;Suite for Piano;Classical;Modern;0.0175;320.4571;323.3439909297052
RWC_G064;G;64;7;1;Blue Print;22 Project Band;;;;;;;Hiroshi Takayama;;World;Blues;0.1686;198.7802;202.55954648526077
RWC_G065;G;65;7;2;Got'em Both;22 Project Band;;;;;;;Hiroshi Takayama;;World;Blues;0.0443;208.302;212.027641723356
RWC_G066;G;66;7;3;Dear John's Letter;22 Project Band;Male;English;;;;;Hiroshi Takayama;;World;Blues;0.1313;232.8961;235.457641723356
RWC_G067;G;67;7;4;Dream Angel;Donna Burke;Female;English;;;;;Kazuo Nishi;;World;Folk;0.0784;238.7519;243.42798185941044
